position,values
"('0|0', '0|1')",-1,-18.92532005050144,-26.388854622988827,-29.49643363177513,-30.79033094035701
"('0|0', '0|2')",-1,-19.69040319574664,-26.979400583775018,-29.82200822397698,-30.93058568202437
"('0|0', '0|3')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('0|0', '1|0')",-1,-18.196359461544542,-25.788635500016397,-29.140662164337854,-30.620598181071983
"('0|0', '1|1')",-1,-19.69040319574664,-26.979400583775018,-29.82200822397698,-30.93058568202437
"('0|0', '1|2')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('0|0', '1|3')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('0|0', '2|0')",-1,-19.69040319574664,-26.979400583775018,-29.82200822397698,-30.93058568202437
"('0|0', '2|1')",-1,-18.196359461544542,-25.788635500016397,-29.140662164337854,-30.620598181071983
"('0|0', '2|2')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('0|0', '2|3')",1
"('0|1', '0|0')",-1,-18.92532005050144,-26.388854622988827,-29.49643363177513,-30.79033094035701
"('0|1', '0|2')",-1,-19.231897079232912,-26.6303398816207,-29.632603204100285,-30.850911610106625
"('0|1', '0|3')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('0|1', '1|0')",-1,-18.196359461544542,-25.788635500016397,-29.140662164337854,-30.620598181071983
"('0|1', '1|1')",-1,-18.92532005050144,-26.388854622988827,-29.49643363177513,-30.79033094035701
"('0|1', '1|2')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('0|1', '1|3')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('0|1', '2|0')",-1,-18.92532005050144,-26.388854622988827,-29.49643363177513,-30.79033094035701
"('0|1', '2|1')",-1,-18.196359461544542,-25.788635500016397,-29.140662164337854,-30.620598181071983
"('0|1', '2|2')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('0|1', '2|3')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('0|2', '0|0')",-1,-19.69040319574664,-26.979400583775018,-29.82200822397698,-30.93058568202437
"('0|2', '0|1')",-1,-19.231897079232912,-26.6303398816207,-29.632603204100285,-30.850911610106625
"('0|2', '0|3')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('0|2', '1|0')",-1,-18.196359461544542,-25.788635500016397,-29.140662164337854,-30.620598181071983
"('0|2', '1|1')",-1,-19.69040319574664,-26.979400583775018,-29.82200822397698,-30.93058568202437
"('0|2', '1|2')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('0|2', '1|3')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('0|2', '2|0')",-1,-19.69040319574664,-26.979400583775018,-29.82200822397698,-30.93058568202437
"('0|2', '2|1')",-1,-18.196359461544542,-25.788635500016397,-29.140662164337854,-30.620598181071983
"('0|2', '2|2')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('0|2', '2|3')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('0|3', '0|0')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('0|3', '0|1')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('0|3', '0|2')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('0|3', '1|0')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('0|3', '1|1')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('0|3', '1|2')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('0|3', '1|3')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('0|3', '2|0')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('0|3', '2|1')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('0|3', '2|2')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('0|3', '2|3')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('1|0', '0|0')",-1,-18.196359461544542,-25.788635500016397,-29.140662164337854,-30.620598181071983
"('1|0', '0|1')",-1,-18.196359461544542,-25.788635500016397,-29.140662164337854,-30.620598181071983
"('1|0', '0|2')",-1,-18.196359461544542,-25.788635500016397,-29.140662164337854,-30.620598181071983
"('1|0', '0|3')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('1|0', '1|1')",-1,-18.196359461544542,-25.788635500016397,-29.140662164337854,-30.620598181071983
"('1|0', '1|2')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('1|0', '1|3')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('1|0', '2|0')",-1,-19.231897079232912,-26.6303398816207,-29.632603204100285,-30.850911610106625
"('1|0', '2|1')",-1,-18.196359461544542,-25.788635500016397,-29.140662164337854,-30.620598181071983
"('1|0', '2|2')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('1|0', '2|3')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('1|1', '0|0')",-1,-19.69040319574664,-26.979400583775018,-29.82200822397698,-30.93058568202437
"('1|1', '0|1')",-1,-18.92532005050144,-26.388854622988827,-29.49643363177513,-30.79033094035701
"('1|1', '0|2')",-1,-19.69040319574664,-26.979400583775018,-29.82200822397698,-30.93058568202437
"('1|1', '0|3')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('1|1', '1|0')",-1,-18.196359461544542,-25.788635500016397,-29.140662164337854,-30.620598181071983
"('1|1', '1|2')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('1|1', '1|3')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('1|1', '2|0')",-1,-19.69040319574664,-26.979400583775018,-29.82200822397698,-30.93058568202437
"('1|1', '2|1')",-1,-18.196359461544542,-25.788635500016397,-29.140662164337854,-30.620598181071983
"('1|1', '2|2')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('1|1', '2|3')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('1|2', '0|0')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('1|2', '0|1')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('1|2', '0|2')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('1|2', '0|3')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('1|2', '1|0')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('1|2', '1|1')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('1|2', '1|3')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('1|2', '2|0')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('1|2', '2|1')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('1|2', '2|2')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('1|2', '2|3')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('1|3', '0|0')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('1|3', '0|1')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('1|3', '0|2')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('1|3', '0|3')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('1|3', '1|0')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('1|3', '1|1')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('1|3', '1|2')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('1|3', '2|0')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('1|3', '2|1')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('1|3', '2|2')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('1|3', '2|3')",-1,-20.069916235661847,-27.2573569885824,-29.966299384466517,-30.987298256872734
"('2|0', '0|0')",-1,-19.69040319574664,-26.979400583775018,-29.82200822397698,-30.93058568202437
"('2|0', '0|1')",-1,-18.92532005050144,-26.388854622988827,-29.49643363177513,-30.79033094035701
"('2|0', '0|2')",-1,-19.69040319574664,-26.979400583775018,-29.82200822397698,-30.93058568202437
"('2|0', '0|3')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('2|0', '1|0')",-1,-19.231897079232912,-26.6303398816207,-29.632603204100285,-30.850911610106625
"('2|0', '1|1')",-1,-19.69040319574664,-26.979400583775018,-29.82200822397698,-30.93058568202437
"('2|0', '1|2')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('2|0', '1|3')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('2|0', '2|1')",-1,-19.69040319574664,-26.979400583775018,-29.82200822397698,-30.93058568202437
"('2|0', '2|2')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('2|0', '2|3')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('2|1', '0|0')",-1,-18.196359461544542,-25.788635500016397,-29.140662164337854,-30.620598181071983
"('2|1', '0|1')",-1,-18.196359461544542,-25.788635500016397,-29.140662164337854,-30.620598181071983
"('2|1', '0|2')",-1,-18.196359461544542,-25.788635500016397,-29.140662164337854,-30.620598181071983
"('2|1', '0|3')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('2|1', '1|0')",-1,-18.196359461544542,-25.788635500016397,-29.140662164337854,-30.620598181071983
"('2|1', '1|1')",-1,-18.196359461544542,-25.788635500016397,-29.140662164337854,-30.620598181071983
"('2|1', '1|2')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('2|1', '1|3')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('2|1', '2|0')",-1,-19.69040319574664,-26.979400583775018,-29.82200822397698,-30.93058568202437
"('2|1', '2|2')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('2|1', '2|3')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('2|2', '0|0')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('2|2', '0|1')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('2|2', '0|2')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('2|2', '0|3')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('2|2', '1|0')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('2|2', '1|1')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('2|2', '1|2')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('2|2', '1|3')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('2|2', '2|0')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('2|2', '2|1')",-1,-16.51591749347073,-24.26535987760628,-28.13582756282746,-30.068936986675695
"('2|2', '2|3')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('2|3', '0|0')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('2|3', '0|1')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('2|3', '0|2')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('2|3', '0|3')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('2|3', '1|0')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('2|3', '1|1')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('2|3', '1|2')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('2|3', '1|3')",-1,-20.069916235661847,-27.2573569885824,-29.966299384466517,-30.987298256872734
"('2|3', '2|0')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
"('2|3', '2|1')",-1,-17.174281029977365,-24.885352204550998,-28.561597136188837,-30.31424297376797
